"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test one endpoint (one test per endpoint via parametrize ids).","203","test_endpoint[GET__contratada]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","212","test_endpoint[POST__contrato]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Classificacao Colaborador by ID.","394","Get Classificacao Colaborador by ID","tests.classificacao_colaborador","2026-06-25","passed","2026-06-25","TestGetClassificacaoColaboradorById","test_get_by_id","",""
"Test getting all Contratadas.","202","Get all Contratadas","tests.contratada","2026-06-25","passed","2026-06-25","TestGetAllContratada","test_get_all","",""
"Test one endpoint (one test per endpoint via parametrize ids).","193","test_endpoint[GET__grupo-contratante]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","188","test_endpoint[PUT__classificacao-colaborador_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","190","test_endpoint[PUT__unidade-contratante_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test getting Operadores da Contratada do Contrato.","408","Get Operadores da Contratada do Contrato","tests.contrato","2026-06-25","failed","2026-06-25","TestGetContratoOperadores","test_get_operadores","",""
"Test one endpoint (one test per endpoint via parametrize ids).","191","test_endpoint[GET__parametros_legacy-systems]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","197","test_endpoint[DELETE__grupo-faturamento_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","196","test_endpoint[PUT__risco_id]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","237","test_endpoint[POST__objeto-analise-tipo-especifico]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","201","test_endpoint[POST__grupo-faturamento_grupoFaturamentoId_faixa-faturamento]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
"Test one endpoint (one test per endpoint via parametrize ids).","233","test_endpoint[GET__contratante_id_grupo-area]","tests","2026-06-25","passed","2026-06-25","TestAllEndpoints","test_all_endpoints","",""
